50,0.6,0.8,2,1.0
1,39,1,6,1,1,1,3,0
2,33,1,6,2,1,1,10,144
3,40,2,4,1,1,1,6,830
4,10,1,6,1,1,1,1,0
5,21,2,6,1,1,1,3,992
6,39,1,4,1,1,1,6,673
7,55,2,4,1,1,1,10,470
8,38,1,1,1,13,1,3,913
9,32,2,1,1,13,1,2,0
10,10,1,6,1,1,1,1,0
11,44,2,4,2,1,1,4,962
12,43,1,1,1,1,1,11,484
13,39,2,1,1,12,1,6,500
14,13,2,6,1,1,1,2,0
15,22,2,6,2,1,1,7,524
16,2,1,6,2,1,0,0,0
17,42,1,6,1,1,1,8,22
18,50,2,1,1,1,1,8,500
19,55,1,1,1,1,1,6,913
20,25,1,6,1,1,1,8,451
21,39,2,1,1,42,1,8,313
22,39,1,1,1,42,1,10,2
23,13,2,6,1,37,1,2,0
24,11,2,6,1,42,1,2,0
25,74,2,5,1,1,1,8,0
26,27,2,6,2,1,1,6,476
27,9,2,6,2,1,1,1,0
28,7,2,6,2,1,1,1,0
29,4,2,6,2,1,0,1,0
30,51,2,1,1,1,1,6,422
31,47,1,1,1,1,1,8,476
32,17,1,6,1,1,1,5,526
33,18,2,6,1,28,1,6,476
34,33,1,1,1,1,1,7,734
35,36,2,1,1,1,1,8,230
36,3,1,6,1,1,0,0,0
37,0,2,6,1,1,0,0,0
38,71,2,5,2,36,1,11,0
39,49,1,4,2,48,1,8,913
40,16,1,6,2,48,1,2,0
41,41,1,1,2,1,1,6,553
42,42,2,1,2,1,1,6,330
43,13,2,6,2,26,1,2,0
44,6,1,6,2,1,1,0,0
45,76,1,5,2,1,1,6,0
46,47,2,1,2,1,1,10,512
47,15,1,6,2,1,12,3,0
48,11,1,6,2,1,1,2,0
49,48,1,1,2,1,1,8,700
50,59,2,3,1,1,1,6,472
